id,category_name,slug,created_at,updated_at,school_id,user_id
17,Feature Updates,feature-updates,,,,
18,Bug Fixes,bug-fixes,,,,
19,Notices,notices,,,,
22,Add-ons,add-ons,2023-10-08 11:26:59,2023-10-08 11:26:59,,
23,Getting Started,getting-started,2023-10-15 11:08:00,2023-10-15 11:08:00,,
24,Website Building,website-building,2023-10-15 11:13:10,2023-10-15 11:13:10,,
25,Products on EzyCourse,products-on-ezycourse,2023-10-15 11:17:11,2023-10-15 11:17:11,,
26,EzyCourse Settings,ezycourse-settings,2023-10-15 11:53:34,2023-10-15 11:53:34,,
27,Email Marketing,email-marketing,2023-10-15 12:12:03,2023-10-15 12:12:03,,
28,Webmaster Tools and SEO,webmaster-tools-and-seo,2023-10-15 12:13:44,2023-10-15 12:13:44,,
29,Sales & Upselling ,sales-and-upselling,2023-10-15 12:15:39,2024-01-03 05:44:52,,
30,Custom Scripts & CSS,custom-scripts-and-css,2023-10-15 12:26:21,2023-10-15 12:26:21,,
43,announcement-1,announcement-1,2024-11-22 13:44:10,2024-11-22 13:44:10,2918,
44,test 2 update,test-2-update,2024-11-22 20:31:39,2024-11-22 20:31:47,2918,
45,Anunțuri,anunturi,2024-11-22 21:34:07,2024-11-22 21:34:07,2967,
46,Îmbunătățiri,imbunatatiri,2024-11-22 21:34:23,2024-11-22 21:34:23,2967,
47,Utilizare Site,utilizare-site,2024-11-22 21:36:39,2024-11-22 22:35:37,2967,
48,24-11-24 edit,24-11-24-edit,2024-11-24 04:14:13,2024-11-26 09:52:15,3601,
49,sqa cat,sqa-cat,2024-11-24 11:38:20,2024-11-24 11:38:20,3601,
50,Using the Content,using-the-content,2024-11-24 15:46:57,2024-11-25 14:38:57,502,
51,How to use the website,how-to-use-the-website,2024-11-24 16:27:46,2024-12-21 09:35:27,2858,
52,Abonament,abonament,2024-11-24 17:00:49,2024-11-24 17:00:49,2967,
53,final stage cay edit,final-stage-cay-edit,2024-11-25 09:10:33,2024-11-25 09:30:21,3601,
63,Products,products,2024-11-26 04:11:30,2024-11-26 04:11:30,2422,
64,Addons,addons,2024-11-26 07:31:12,2025-01-30 04:16:45,2451,
66,Locking Device,locking-device,2024-11-26 22:15:18,2024-11-26 22:15:31,3273,
67,Readers,readers,2024-11-26 22:21:11,2024-11-26 22:21:11,3273,
68,Keypads,keypads,2024-11-26 22:21:17,2024-11-26 22:21:17,3273,
69,Control Units,control-units,2024-11-26 22:21:39,2024-11-26 22:21:39,3273,
70,SBL Free Session,sbl-free-session,2024-11-27 05:55:34,2024-11-27 05:55:34,3136,
71,Technical Manuals,technical-manuals,2024-11-28 23:03:54,2024-11-28 23:04:38,3273,
72,Product Datasheets,product-datasheets,2024-11-28 23:04:23,2024-11-28 23:04:23,3273,
75,Test-Kategorie,test-kategorie,2024-12-05 14:25:41,2024-12-05 14:25:41,3522,
76,Digital creator,digital-creator,2024-12-10 05:45:44,2025-01-30 04:16:32,2451,
77,CATEG CREATEION,categ-createion,2024-12-12 13:10:04,2024-12-12 13:10:04,3195,
81,demo 3 cat 2,demo-3-cat-2,2024-12-18 11:10:13,2024-12-18 11:10:13,2456,
82,Getting Started at CENTURY 21 Edge,getting-started-at-century-21-edge,2024-12-18 21:21:45,2024-12-18 21:21:45,4063,
83,Investimentos,investimentos,2024-12-24 20:20:29,2024-12-24 20:20:29,684,
85,membership,membership,2025-01-02 12:49:16,2025-01-30 04:16:13,2451,
86,News,news,2025-01-07 08:01:30,2025-01-07 08:01:30,1226,
87,Gestión de la Plataforma,gestion-de-la-plataforma,2025-01-10 11:46:22,2025-01-10 11:46:22,3624,
88,Formación y Cursos,formacion-y-cursos,2025-01-10 11:46:37,2025-01-10 11:46:37,3624,
89,Preguntas Frecuentes,preguntas-frecuentes,2025-01-10 11:46:51,2025-01-10 11:46:51,3624,
90,Marketing y Ventas,marketing-y-ventas,2025-01-10 11:47:06,2025-01-10 11:47:06,3624,
